"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","cluster","gene_id","gene_name","gene_biotype"
"ENSG00000187634",0.647106799918026,0.968691393915939,1.09064046740248,1.45101642628573,0.970457551674192,-0.579652511445103,0.506562948024355,-0.159753414657979,-0.382919555213519,-0.653259889492359,-0.992268192094399,-1.18703935549011,-1.67958266882725,1,"ENSG00000187634","SAMD11","protein_coding"
"ENSG00000188976",1.82649488119014,-1.32564626045162,-1.50740271637518,-0.531291858001385,-1.65582644511843,0.213982604696357,0.326271407184299,0.532931548618503,0.863198321583607,0.31313411269965,0.290836582955424,0.454844897967974,0.198472923050665,2,"ENSG00000188976","NOC2L","protein_coding"
"ENSG00000187583",-1.86271375393169,-1.41257906884416,-0.6704150884354,0.28806438177621,-0.598967152088925,0.281335459353797,1.38411534351469,1.11896115455677,1.13373476230614,0.660562310493108,0.421077497633711,-0.0387507098106173,-0.704425136523644,3,"ENSG00000187583","PLEKHN1","protein_coding"
"ENSG00000187642",-1.77389237998312,-1.04112764756352,0.116053649277531,0.43836438719905,-0.689054695015867,-0.0796911657488584,1.68763352444651,1.10492072577235,1.13071859120511,0.443189269688083,0.198835187663516,-0.368239537599039,-1.16770990934175,3,"ENSG00000187642","PERM1","protein_coding"
"ENSG00000188290",-0.763732295228869,2.56012265222601,-0.439990442527704,0.247562942577987,-0.344678024762225,0.886644315982415,0.582663220007145,0.467560009754902,0.100598130864024,-0.381789080355051,-0.849779213260365,-0.77368984847926,-1.29149236679901,3,"ENSG00000188290","HES4","protein_coding"
"ENSG00000187608",-1.08828195258197,-0.432552498396246,0.611884306114699,-1.11070684681669,1.77307682037285,0.999023759594541,1.21478182835234,0.360808646483267,0.297817900729051,-0.145255733856181,-0.228581396896967,-1.66215636118234,-0.589858471916356,4,"ENSG00000187608","ISG15","protein_coding"
"ENSG00000188157",-2.24385266642458,0.460454548785532,-0.656600627965013,0.380267239230574,-0.381030771746182,-1.05388583463315,0.675738240408497,0.993543016885352,1.56259402500419,0.453792993694481,0.567725497642611,-0.0477241708150499,-0.711021490067262,3,"ENSG00000188157","AGRN","protein_coding"
"ENSG00000237330",-2.83003993352725,-0.510828258746984,-0.735533742659644,-0.0582577962308147,-0.176561744056951,-0.155219609281614,0.762901346305616,0.527353395115159,0.866682411158625,0.665753395318708,0.48593361737624,0.869915236405687,0.287901682823216,3,"ENSG00000237330","RNF223","protein_coding"
"ENSG00000162571",-2.02063532704232,-1.0814650669587,-0.647768528907225,0.199283407248461,-0.751488632816299,0.422173736270504,0.401151197151129,1.37128473457959,0.332788318912295,1.16515366113817,1.2857983132483,-0.0610500174955609,-0.61522579532833,3,"ENSG00000162571","TTLL10","protein_coding"
"ENSG00000186891",-1.99076084240273,-1.70709809521559,-0.607438326444176,-0.253876557517345,-0.42225559349029,-0.425709425559277,0.691605130611428,0.615754148530097,0.966955475017434,0.785121081473018,0.649092119371321,1.01794048122434,0.680670404401766,3,"ENSG00000186891","TNFRSF18","protein_coding"
"ENSG00000162572",-0.250939107669167,1.0270845066102,1.57363048085036,1.15984805645424,0.96601983365939,-2.17178670468075,-0.31993307958828,-0.0795221656214529,-0.296364589336209,0.141967101781238,-0.579110874559748,-0.291183208784837,-0.87971024911499,4,"ENSG00000162572","SCNN1D","protein_coding"
"ENSG00000169962",1.22688469852258,1.60847156167729,0.765636664345397,0.707083692408428,1.20535302291865,-0.694064082986727,-0.0614429172766569,-0.423689237042148,-0.260328555032819,-1.25700131120775,-1.24876317011537,-0.418862812508615,-1.14927755370225,1,"ENSG00000169962","TAS1R3","protein_coding"
"ENSG00000162576",1.3277712836084,2.27172646952868,1.07554369896734,0.492311497750245,-0.151979514706527,-0.75226968361631,-0.552872270661469,-0.436425895672433,-0.850735242665803,-0.370839028050369,-0.222242848608005,-0.856334908052104,-0.973653557821647,1,"ENSG00000162576","MXRA8","protein_coding"
"ENSG00000175756",1.76890538623209,-0.947938582361986,-1.12327713575841,-0.613935356987084,-2.05210605747154,-0.4448480648891,0.42780538179559,0.643401563231467,0.752428250338434,0.388304245287362,0.352462307640711,0.67571430278681,0.173083760155658,2,"ENSG00000175756","AURKAIP1","protein_coding"
"ENSG00000221978",-2.14698045296,-0.681117893659083,0.67372836185552,-0.43169247263778,1.13932966291277,-1.53983955560043,-0.0841133288978579,0.777468718715509,-0.0862382791959418,0.778120488334143,1.00103978603078,0.624499331348261,-0.0242043662458814,4,"ENSG00000221978","CCNL2","protein_coding"
"ENSG00000215915",2.07408947722823,1.24603382930137,0.802462892425039,0.653824951809186,0.502506089749726,0.193589263646206,-0.429547009346166,-0.602665928316001,-0.822620394470184,-0.639305801571178,-1.12427590876256,-0.637069323852211,-1.21702213784145,1,"ENSG00000215915","ATAD3C","protein_coding"
"ENSG00000197785",0.0584720072211787,-1.3167706113856,-1.60000949751813,-0.737069543232608,-1.79058847052685,0.336988436510053,0.603160813044313,0.968289470957791,0.989249432568648,0.658461909057871,0.588788941718858,0.688724424854434,0.552302686730035,5,"ENSG00000197785","ATAD3A","protein_coding"
"ENSG00000197530",-2.6938755675232,0.310296920349458,0.741937863154251,0.553778204311994,1.05655289581181,-1.13585683563324,0.37391313426634,0.364604915073292,0.628795490002878,0.336485858563333,0.368704414763046,-0.28530922363109,-0.620028069508869,4,"ENSG00000197530","MIB2","protein_coding"
"ENSG00000189339",0.811906046876847,1.27971212759221,1.08996243867692,1.20009782208989,1.24424385669453,-0.262232648038668,0.0252375051098742,-0.538902831689354,-0.509842170527518,-0.742561399559779,-1.04519500651362,-1.22272007919629,-1.32970566151505,1,"ENSG00000189339","SLC35E2B","protein_coding"
"ENSG00000215790",-0.97681920671289,1.54684863188139,1.10719004479988,1.1245099170623,1.63069349272801,-0.532738047187431,-0.281398726642188,0.10571598923534,-0.841916904407914,-0.366657414000666,-0.625784783844423,-1.17839733156647,-0.711245661344931,4,"ENSG00000215790","SLC35E2A","protein_coding"
"ENSG00000178821",2.24666229913616,0.347914424936708,0.0911740014261407,0.155357511944623,-1.07113266854832,-0.483510128595086,0.735202904282594,0.788824436973005,0.609735958707778,-0.121571451111156,-1.03852358191416,-0.786592039378716,-1.47354166785957,1,"ENSG00000178821","TMEM52","protein_coding"
"ENSG00000187730",2.90481120355076,0.923087244281988,-0.228242314683679,0.180721164134231,-0.393566169227928,0.0859847203937168,-0.207477477631208,-0.456498080690851,-0.126925125791454,-0.522462105780828,-0.225312643942475,-0.992047189183347,-0.942073225428925,1,"ENSG00000187730","GABRD","protein_coding"
"ENSG00000142611",2.06396975170362,1.08584319300699,0.42095847102894,0.758342161925902,0.183936271102783,-0.179965465054844,0.133767109300847,0.309905172849066,-0.225196182341098,-0.685924074443611,-1.05855595721187,-1.25035181804737,-1.55672863381935,1,"ENSG00000142611","PRDM16","protein_coding"
"ENSG00000130762",2.44873690269651,0.214418079746259,-0.105286932661574,0.483146766363277,-1.52870625319225,-0.932056894605084,0.690653112834509,0.30913518186558,0.309140315756102,-0.00202700441048996,-0.0672855711043606,-0.610852954761061,-1.20901474852742,1,"ENSG00000130762","ARHGEF16","protein_coding"
